Agency_Id,Program_Id,ProgramContact_ProgramContact,ProgramSystem_LastUpdatereviewDate,ProgramOption_Status,ProgramSystem_Name,ProgramSystem_Description,ProgramSystem_TypeOfFees,ProgramSystem_DocumentsRequired,ProgramSystem_Eligibility,ProgramSystem_ApplicationintakeProcess
6655,15464,"[{""Contact_Id"":4006}]",2020/04/03,"[""Active""]",Workers' Compensation Fraud Prevention,"Investigates claims of workers compensation fraud by workers, health care providers and employers.Examples of fraud include:-  Employers not paying L&I premiums owed.-  Overcharging L&I for medical services.-  Working while collecting time-loss from L&I.-  Filing a false L&I claim or falsifying a condition.",None.,,No restrictions.,Call.
6655,16040,"[{""Contact_Id"":4006}]",2020/04/03,"[""Active""]",Apprenticeship Information,"Provides information about apprenticeship programs in Washington.Registers incoming apprentices accepted into approved training programs.Apprenticeship programs combine classroom studies with on-the-job training supervised by a journey-level craft person or trade professional.   Apprentices get paid to learn, and wages increase as they meet required milestones.",None.,"Credentials or documentation may be required by the sponsor along with the completed application form, including a transcript of school subjects and grades, proof of age, honorable military discharge (if applicable) and high school diploma or GED.","Ages 16 or older for most occupations.Individuals must usually be age 18 to be an apprentice in hazardous occupations.Individuals must satisfy the sponsor that they have the ability, aptitude, and education to master the skill.",References from all previous employers may be required.
6655,16869,"[{""Contact_Id"":4006}]",2020/03/16,"[""Active""]",Workers' Compensation Coverage for those Affected by COVID-19,"Allows for treatment of COVID-19 when work-related activity has resulted in probable exposure to the virus and certain criteria are met. -  The worker's occupation must have a greater likelihood of contracting the disease because of the job (examples include first responders or health care workers). -  There must also be a documented or probable work-related exposure, and an employee/employer relationship.Accepts claims of health care workers and first responders who are quarantined after COVID-19 exposure on the job. Other quarantine claims will be looked at on a case-by-case basis.Time-loss payments may be allowed for lost wages during the quarantine period of up to 14 days.Appropriate, medically required testing/surveillance would also be covered. When the contraction of COVID-19 is incidental to the workplace or common to all employment (such as an office worker who contracts the condition from a fellow employee), a claim for exposure to and contraction of the disease will be denied.",None.,,Workers exposed to COVID-19.,Call or apply online.
6655,16871,"[{""Contact_Id"":4006}]",2020/03/16,"[""Active""]",Employer Assistance Program,"Works with financially distressed businesses impacted by the economy, natural disasters, or other serious problems to arrange a payment plan for workers' compensation premiums.L&I waives late penalties and interest if qualifying businesses pay their premiums within 90 days. Penalties and interest may be applied for longer payment periods.Businesses must also pay future quarterly premium payments by the regular deadline, which is 30 days after the end of each quarter.In some cases, the payment plan can be renegotiated if a business goes deeper into financial distress.",None.,,"Businesses impacted by the economy, natural disasters, or other serious problems.",Businesses should contact their L&I account manager or call employer services.
6671,12715,"[{""Contact_Id"":1416}]",2021/09/09,"[""Active""]",Community Engagement Services,"Qualified personnel take seniors and people with development disabilities out in the community to connect to family, friends, and places they to enjoy going.",Call for information.,,Seniors and those with developmental disabilities.,Call for information.
6701,7109,"[{""Contact_Id"":752}]",2019/06/05,"[""Active""]",Family Reconciliation Services,"Provides crisis intervention services for families with youth who have run away or who are in serious conflict with parents.  Family Reconciliation Services are intended to preserve, strengthen and reconcile families.  Services may include -  Short-term family counseling -  Short-term placement of the youth out of the home -  Referrals for substance abuse treatment and/or counseling Services are voluntary.",None.,,Families with youth ages 13-17.,Call.  Intake line will accept collect calls.
6701,9658,"[{""Contact_Id"":752}]",2019/06/05,"[""Active""]",Child Welfare Services,Provides both permanency planning and intensive treatment services to children and families who may need help with chronic problems such as on-going abuse and neglect or intensive medical needs.  ,None.,,Families with children ages 17 and younger.,Call.  Intake line will accept collect calls.
6701,11254,"[{""Contact_Id"":752}]",2019/06/05,"[""Active""]",Child Protective Services,"Provides child protective services, including intake, screening and investigative services in response to reports of suspected child abuse and neglect.  CPS social workers investigate appropriate referrals to assess the safety and protection needs of children and, when necessary, intervenes by providing services designed to increase safety and protect children from further harm.  In order to remain involved with families for more than 90 days, CPS must obtain either a court order or a voluntary service agreement with families at risk.  CPS may include in-home protective services to keep a child safely in the family home or temporary out-of-home care during assessment or reunification efforts.  Callers reporting suspected child abuse will be asked during the call: - The name, address and age of the child.  - The name and address of the child's parent, guardian or other persons having custody of the child.  - The nature and extent of the abuse or neglect.  - Any evidence of previous incidences.  - Any other information which may be helpful in establishing the cause of the child's abuse or neglect and the identity of the perpetrator.  (1-866-END-HARM is a toll-free telephone-based clearinghouse provided by Washington state to connect callers to appropriate abuse reporting lines; interpreters available in common non-English languages, including Cambodian, Chinese, Korean, Laotian, Russian, Spanish and Vietnamese.) Targeted services for Indian children are available at the Office of Indian Child Welfare.",None.,,"Families with children, ages 17 and younger.",Call.  Intake line will accept collect calls.
6701,12405,"[{""Contact_Id"":752}]",2019/06/05,"[""Active""]",Adoption,"Recruits and screens families interested in adopting children who are in the care and custody of the Department of Social and Health Services.  Places waiting children with interested, approved adoptive families and provides adoption planning, preparation and pre- and post- placement services to the adoptive child and family.  Assists families adopting special needs children by providing ongoing financial and medical benefits to qualified children based on state and federal regulations.  Enhanced services for Indian children are available at the Office of Indian Child Welfare.",None.,,"No restrictions for general adoption.Special Needs Adoption: Families with a child younger than 18, legally free (parental rights terminated), has special needs, currently in state-funded foster care (or eligible for and likely to be placed in foster care) or be eligible for federal-funded adoption assistance.",Call. Intake line will accept collect calls.
7106,568,"[{""Contact_Id"":1597}]",2022/08/17,"[""Active""]",Loaves and Fishes,Provides a hot meal for anyone in need.,None.,,None.,Visit in person.
7228,3526,"[{""Contact_Id"":1985}]",2022/02/22,"[""Active""]",Parent to Parent Program,"Provides emotional support and information to families of children with developmental disabilities, delays, and ongoing health care needs. Offers an individualized peer support program which matches parents of children with developmental disabilities with trained volunteers who are also parents of children with developmental disabilities, so that they might work together for emotional support and guidance.",None.,,"Families of children with developmental disabilities, delays, and ongoing health care needs.",Call.
7228,7994,"[{""Contact_Id"":1985}]",2022/02/22,"[""Active""]",Financial Assistance,Provides vouchers for use by individuals and families with developmental disabilities for the purchase of household items or clothing valued up to $50.,None.,,Individuals and families with developmental disabilities.,"Written referrals are received in our office from case managers, residential support staff, guardians and other caregivers. When self-referrals are made, letters of support from case managers or another professional in the developmental disabilities field are required for eligibility."
7228,10298,"[{""Contact_Id"":1985}]",2022/02/22,"[""Active""]",Self-Advocacy,"Helps adults with developmental disabilities become strong self-advocates. Self-advocates are people with disabilities who speak up for themselves and others. They can express themselves with spoken words, sign language, language boards and in other ways unique to themselves. Self-advocacy enables people with disabilities to live a fulfilling in the community with the support they need.",None.,,Adults in Whatcom County who have a developmental disability.,Call.
7228,11751,"[{""Contact_Id"":1985}]",2022/02/22,"[""Active""]",Educational Programs & Workshops,"Sponsors a variety of educational programs & workshops focusing on current issues that concern persons with developmental disabilities and their families. Topics include guardianships and special needs trusts, long-term planning for special needs families, special health care needs, special education services, early learning issues, individual education plans, transition from high school to work, residential issues and concerns, legislative advocacy, self-empowerment and self-advocate training.",Vary.,,"Those with developmental disabilities and their families who are residents of Island, Skagit or Whatcom Counties.",Call.
7228,13582,"[{""Contact_Id"":1985}]",2022/02/22,"[""Active""]",Down Syndrome Outreach,"Hosts family networking & support events, specifically for the Down syndrome community. Works with individuals, families and caregivers to provide education and advocacy. Families needing information and education specifically related to Down syndrome are provided a trained Parent Advocate to address their needs. Families are also connected to other families to develop natural peer support.",None.,,Families and individuals whose lives include a person with Down syndrome.,Call.
7361,2570,"[{""Contact_Id"":1555}]",2021/09/08,"[""Active""]",Parent-Infant Program,"Provides free parental support and coaching for the families of deaf, deafblind, and hard of hearing toddlers. Uses a bilingual/bicultural approach that emphasizes language acquisition in both American Sign Language (ASL) and English. While enrolled, families will develop their ASL skills to create a nurturing, language-accessible home for their Deaf or hard of hearing toddler.","Free for families with deaf, deafblind, or hard of hearing children ages 0-3.",,"Families in King, Pierce, and Snohomish counties who have a deaf, deafblind, or hard of hearing toddler ages 0-3.",Call or e-mail for more information.
7361,4957,"[{""Contact_Id"":1555}]",2021/09/08,"[""COVID-19 Closure""]",Public Videophones,"Provides public videophones for Deaf and hard of hearing individuals.Videophones are used to connect with Video Relay Service and Video Remote Interpreting, or to make calls directly to other Deaf individuals or sign language users. Offers training for individuals or businesses on how to acquire and use videophones.",None.,,"Individuals who are Deaf or hard of hearing, as well as hearing interpreters and other users of sign language who need to make phone calls to individuals who are Deaf or hard of hearing.All individuals and businesses are eligible for training.","Call, visit in person or email for more information. Appointments required for videophone trainings."
7361,5188,"[{""Contact_Id"":1555}]",2021/09/08,"[""Active""]",Rosen Family Preschool,"Provides a classroom for children ages 3-5 that emphasizes both American Sign Language (ASL) and English.The program is also open to hearing children who would benefit from an ASL-friendly environment, such as those raised in a home that uses sign language.One classroom is conducted in ASL and written English, and one classroom is conducted in ASL and spoken English.","Varies.Tuition may be offset for Seattle and King County residents through local school districts..  Without a referral, there is a quarterly tuition fee.Offers scholarships to families in need.",,"Families with deaf and hard of hearing children, ages 3 through 5, or hearing children who would benefit from a bilingual (English/ASL) environment. Children with other disabilities related to language and typically developing children may be considered on a case-by-case basis.",Call or e-mail for information.
7361,5555,"[{""Contact_Id"":1555}]",2021/09/08,"[""Active""]",Interpreting Services,"Offers a centralized resource that provides in-person and remote interpreting in a wide variety of settings for Deaf, DeafBlind, and hard of hearing individuals or groups. Interpreters are qualified at the highest national level, enabling them to communicate with deaf and hard of hearing people with a broad range of communication styles.",Varies depending on interpreting assignment.,,No restrictions.,Call or email to learn more or schedule an interpreter.
7361,5717,"[{""Contact_Id"":1555}]",2020/06/03,"[""Active""]",Options Counseling,Provides support to older adults who are experiencing a transition or change.  Works to help them live independently longer in a manner that is safe and meaningful to them. An options counselor can meet with the older adult one on one to: -  Develop a personalized action plan -  Assess and refer to additional resources -  Provide limited assistance in filling out paperwork -  Provide limited phone-based advocacy to connect client to resources  During visit cannot provide: -  Housework -  Errand running -  Personal care services -  Transportation -  Legal representation or advice,None.,,"Focuses on serving adults ages 18 and older who are Deaf or hard of hearing. Those that need guidance on making care choices, but are capable of connecting to provided services on their own. Must live anywhere in King County. Must not currently be receiving case management through Home and Community Services or a housing authority.",Call for an assessment. CLC Specialist: Call and relay client's name and phone number/contact information. Third parties can make a referral by calling and leaving the client's information.
7361,9867,"[{""Contact_Id"":1555}]",2021/09/08,"[""Active""]",Speech & Language Services,Offers comprehensive speech-language therapy and evaluations.Provides individual and small group therapy for many speech-language needs including:-  Receptive and expressive language disorders-  Auditory processing disorders-  Speech sound disorders-  Motor speech disorders-  Aural (re)habilitation-  Stuttering-  Literacy development-  Augmentative and alternative communication (AAC)-  Feeding/swallowing disorders-  Gender voice therapy,"Varies. Fees may be adjusted for private clients when they meet certain minimum income criteria. Accepts many insurance providers, including WA Apple Health (Medicaid) and Medicare.",,Community members of all ages who experience a variety of speech-language differences.,Call for an appointment or email for more information.
7361,12544,"[{""Contact_Id"":1555}]",2021/09/08,"[""COVID-19 Closure""]",Audiology & Hearing Aids,"Provides comprehensive hearing evaluations, as well as hearing aid fitting, service, and repair. We offer the latest technologies from hearing aid manufacturers and work with clients to determine the best path toward communication access.Offers walk-in hearing aid service hours at our Seattle office for cleaning, service, and basic troubleshooting.Accepts used hearing aids as donations.","Accepts most insurance carriers, Medicare, WA Apple Health (Medicaid) and private payment.  Hearing screenings for ages 5 and older are free.",,A physician's referral is often required.  ,Call for an appointment or email for more information.
7361,15341,"[{""Contact_Id"":1555}]",2021/09/08,"[""Active""]",Deaf & Hard of Hearing Support,"Provides case management and advocacy services to accomplish goals and determine accommodation needs for Deaf, hard of hearing, and late-deafened individuals. Clients receive support in independent living skills, including:-  Finding employment-  Finding housing-  Completing paperwork-  Financial management-  Navigating social services-  Navigating health issues-  Effective communication strategies, and moreFor organizations and businesses: Provides training on accessibility for Deaf and hard of hearing employees, clients, or customers. Provides consultation services that are designed to bring government, corporations, and other agencies into compliance with existing legislation in place for persons who are Deaf, hard of hearing, and/or DeafBlind.",None.,,"Deaf, hard of hearing, and late-deafened individuals in the following counties: King, Snohomish, Jefferson, Clallum, Kitsap, Pierce, Grays Harbor, Thurston, Mason, Whatcom, Skagit, San Juan, and Island.","Email, call or visit in person."
7361,16016,"[{""Contact_Id"":1555}]",2021/08/31,"[""Active""]",Assistive Listening Technology,"Provides technology such as amplified phones, videophones, TTYs, Assistive Listening Devices (ALDs), and visual vibrating alert systems. Also provides training for the technology.Offers select number of FM systems and Assistive Listening Devices that can be loaned free to businesses, organizations, or DSHS departments on behalf of deaf or hard of hearing individuals. The devices amplify sound for audience members.",No fees for consultation or equipment loan. Purchase prices vary by product. There is a 30-day return policy on purchases.,,"People who are deaf or hard of hearing and would like training on assistive technologies.  Equipment may be loaned to businesses, non-profits or DSHS departments to better serve deaf or hard of hearing customers.","For more information, call or email."
7426,663,"[{""Contact_Id"":1709}]",2022/06/06,"[""Active""]",District Office,Main phone number for the Blaine School District.,None.,,None.,None.
7426,6555,"[{""Contact_Id"":1709}]",2022/06/06,"[""Active""]",Homeless Student Liaison,"Ensures that youth experiencing homelessness have the opportunity to succeed in school by organizing transportation to their school of origin or assisting them with enrollment in their local school without delay.  Also provides referrals to health care, dental, mental health and other appropriate services.  Homeless students cannot be penalized for infractions, such as absenteeism, that relate to their homelessness.  Under the McKinney-Vento act, students must be allowed to attend their school of origin ""to the extent feasible.""",None.,,"Families or unaccompanied minors who lack a fixed, regular and adequate nighttime residence: Temporarily sharing housing; Living in motels or camping grounds due to the lack of alternative accommodations; Using as a nighttime residence a public or private place not ordinarily designed for sleeping; Living in emergency shelters or transitional housing.",Talk to a counselor at the student's local school or call the district's homeless liaison.
7470,589,"[{""Contact_Id"":2856}]",2022/02/08,"[""Active""]",Street Law,Drop-in clinic provides legal advice and referrals to anyone in need.,None.,Bring any documents related to your case.,None.,Visit website for schedule.
7470,4278,"[{""Contact_Id"":2856}]",2022/02/08,"[""Active""]",Kinship Custody Clinic,"In partnership with Opportunity Council, LAW Advocates provides information about the procedures and issues involved with obtaining a non-parental custody order for a relative or unrelated person (often grandparents, aunts/uncles, or family friends).  A family law lawyer will assist clients with court documents and instruct them in representing themselves in court to obtain a non-parental custody order.",None.,,Must be a Whatcom County resident or have a Whatcom County matter.,Contact LAW Advocates for eligibility screening and appointment.
7470,4863,"[{""Contact_Id"":2856}]",2022/02/08,"[""Active""]",Disability Benefits for Homeless Individuals,LAW Advocates provides assistance to homeless people to obtain the state and federal disability benefits to which they are entitled.,None.,,"Must be homeless, residing in Whatcom County, and at or below 200% of the federal poverty level.",Call or visit website.
7470,5117,"[{""Contact_Id"":2856}]",2022/02/08,"[""Active""]",Access ID,Volunteers provide assistance to homeless or low-income individuals to navigate the process of obtaining state-issued photo ID.,None.,,Low-income and homeless Whatcom County residents.,Call or visit website.
7470,6512,"[{""Contact_Id"":2856}]",2022/02/08,"[""Active""]",Legal Assistance,"LAW Advocates provides legal assistance on a wide-range of topics to low-income people in Whatcom County.  Services are provided through a variety of legal clinics and programs, as well as by placing cases with volunteer attorneys.  We do not provide assistance with criminal law matters.",None.,,Must be a resident of Whatcom County or a Whatcom County matter.  Must be at or below 200% of the federal poverty level.,Contact CLEAR 1-888-201-1014.
7470,9324,"[{""Contact_Id"":2856}]",2022/02/08,"[""Active""]",Consumer Debt Clinic,"LAW Advocates matches low-income people struggling with debt with volunteer attorneys to provide advice and representation in bankruptcy, if appropriate.",None.,,"Must be a Whatcom County resident or have a Whatcom County matter.  Must be at or below 200% of the federal poverty level.   For Chapter 7 bankruptcy, clients should not be judgment proof and should have significant debt (approximately $10,000 or more).",Contact CLEAR to be screened for eligibility.
7470,11033,"[{""Contact_Id"":2856}]",2022/02/08,"[""Active""]",Domestic Violence Parenting Plan Clinic,This program provides intensive assistance with the preparation of parenting plans for parents facing domestic violence.,None.,,Must be a Whatcom County resident or have a Whatcom County matter.  Must be at or below 200% of the federal poverty level.  Must have minor children. Must be a survivor of domestic violence.,Call Domestic Violence & Sexual Assault Services for a referral 360-715-1563.
7470,13149,"[{""Contact_Id"":2856}]",2022/02/08,"[""Active""]",Wills and Powers of Attorney Clinics,LAW Advocates matches low-income seniors and low-income individuals who are terminally ill or disabled with volunteer attorneys for assistance preparing their will and other estate planning documents.,$25.,,"Must be 60 or better, terminally ill or disabled.  Must be at or below 200% of the federal poverty level.  Must be a resident of Whatcom County.",Call 360-671-6079 for eligibility screening.
7470,13859,"[{""Contact_Id"":2856}]",2022/02/08,"[""Active""]",Civil Rights Legal Assistance,"Through a partnership with the Whatcom Civil Rights Project, this program provides legal assistance and advocacy to people who have experienced discrimination and civil rights violations.",None.,,Must be a resident of Whatcom County or have a Whatcom County Matter.  Must be at or below 200% of the federal poverty line.,Leave a message for the Whatcom Civil Rights Project: 360-734-0217
7470,14896,"[{""Contact_Id"":2856}]",2022/02/08,"[""Active""]",Tenant Clinic,Provides advice and limited in-court representation to low-income renters.,None.,"Bring a copy of your rental agreement (lease) and any other documents related to your case (for example, eviction notice or anything else from your landlord).",Must be a Whatcom County resident.  Must be at or below 200% of the federal poverty line.  This clinic is for renters.,This is a drop-in clinic.  Please arrive on the second floor of the Whatcom County Courthouse at 12:30 p.m. on any Friday that has a court eviction calendar scheduled (most Fridays).
7510,1097,"[{""Contact_Id"":424}]",2020/01/22,"[""Active""]",Visions Youth Treatment Center,"Provides an inpatient treatment facility for female youth with substance use disorders. Facility is a Level II secure residential facility, which includes vigilant supervision at all times.  Client stay can be anywhere from six to nine months.",Accepts private pay and WA Apple Health (Medicaid).,,Female youths ages 13-17.,Call for more information.
7510,1449,"[{""Contact_Id"":424}]",2020/01/22,"[""Active""]",Turning Point Adult Treatment Center,"Offers a 30-day intensive inpatient treatment program for adults with substance abuse disorder in a 40-bed smoking facility. Program includes individual and group counseling.  Clients must bring their own suboxone prescription. Only up to 8mg.  Client dormitories are separated by gender, but all group services are Co-Ed.",Accepts WA Apple Health (Medicaid).,,Adults ages 18 and older.,Call for more information. Accepts agency and self referrals.  Clients MUST have completed an assessment with a CDP prior to admission.
7510,2357,"[{""Contact_Id"":424}]",2020/01/22,"[""Active""]",Primary Health Care,"Specializes in primary care family medicine, including -  Preventive health exams-  Prenatal care-  Acute care visits-  Minor procedures-  Health education-  Follow-up care from hospital visits",Offers sliding scale based on income level and ability to pay. Medicare and WA Apple Health (Medicaid) are accepted.,,No restrictions.,Call for appointment or visit in person.  Drop-ins are accepted but appointments are preferred.
7510,3053,"[{""Contact_Id"":424}]",2020/01/22,"[""Active""]",Renacer Treatment Center,Offers a 30-day residential program for stabilization and recovery skill-building as well as a 90- to 120-day intensive inpatient substance use disorder treatment.  One or more individual sessions are held each week along with a minimum of 20 hours of group counseling services.  Residents attend at least two 12-step meetings a week and participate in structured daily recreation and leisure activities. Daily attendance at in-house school is required; students earn school credits for participation.  Family members or significant others are strongly encouraged to participate in the treatment program.  The building is set up to discourage and/or not allow clients to leave without supervision. Also offers outpatient services including alcohol and drug information school.,"Accepts WA Apple Health (Medicaid), private pay, private insurance and additional government funding programs.",Documents Required:  -  Referring agency should provide a signed release of confidentiality from the prospective patient -  Current comprehensive chemical dependency evaluation.   -  Copy of youth's Social Security card -  Copy of current or most recent school record and a copy of immunization record.  -  Copy of current WA Apple Health (Medicaid),"One unit serves low-income male adolescents, ages 13 through 17.  Youth ages 18 may be considered after evaluation by Program Manager.  Youth are required to have a physical, a TB test and an assessment within six months of enrollment.",Call for information.
7510,3717,"[{""Contact_Id"":424}]",2020/01/22,"[""Active""]",Tacoma Residential Treatment Center,Offers a 30-day residential program for stabilization and recovery skills.,Program costs $5850 and can work with individuals on a payment plan.  Accepts WA Apple Health (Medicaid) and private pay.,,Adults ages 18 and over.,Call for more information.
7510,4655,"[{""Contact_Id"":424}]",2020/01/22,"[""Active""]",WIC Program,Provides a nutrition program and food assistance for pregnant and postpartum women and infants and children.  Offers:-  Nutrition and health assessments and education -  Breastfeeding counseling -  Vouchers for specific nutritious foods -  Health screenings and referrals -  Referrals to other health and social programs WIC checks are valued at about $50 per month per participant.,None.,,"Pregnant and post-partum women, as well as infants and children under age 5 who are at or below 185% of the Federal Poverty Level.",Call for eligibility and appointment.
7510,5174,"[{""Contact_Id"":424}]",2020/01/22,"[""Active""]",Adult and Family Outpatient Behavioral Health,"Offers evidence-based, culturally competent mental health treatment including:-  Mental health assessments as well as psychiatric evaluations-  Case management for adults and children   -  Psychiatric medication assessments and management    -  Individual, group and family therapy   Clients are encouraged to include their families and members of their social support system in their treatment.","Sliding scale, based on income and number of dependents.  Accepts most insurances including WA Apple Health (Medicaid).",,"Adults, children and families in need of behavioral health support.Meets all requirements for court-mandated services.",Call or visit in person to make an appointment.
7510,5546,"[{""Contact_Id"":424}]",2020/01/22,"[""Active""]",Outpatient Substance Use Disorder Services,Provides bilingual substance use disorder treatment services: -  Drug and alcohol evaluations -  DUI assessments -  Deferred prosecution -  Relapse prevention -  Monthly monitoring -  Aftercare -  Intensive outpatient treatment -  Family counseling.,"Accepts WA Apple Health (Medicaid), private insurance and private pay.",,No restrictions.  Serves youth ages 12 and older as well as adults.,Call or visit in person to make an appointment.
7510,5706,"[{""Contact_Id"":424}]",2020/01/22,"[""Active""]",Specialty Dental Clinic,"Provides oral exams and consultations including oral health education and training to foster good oral hygiene. Assists with complex restorative cases including: -  Specialty Endodontic Services: Root Canal, Apico -  Specialty Periodontic Services: Oral tissue and gum health, Dental Implant, Crown lengthening -  Specialty Prosthodontic Services: Crown, Bridge, Denture, Partial -  Specialty Orthodontic Services: Traditional and/or Clear Aligners", Offers sliding scale based on income level and ability to pay for people without dental insurance.  Accepts WA Apple Health (Medicaid) and private insurance.,,No restrictions.,Call for appointment or visit in person.  Drop-ins accepted; appointments are preferred.
7510,5842,"[{""Contact_Id"":424}]",2020/01/22,"[""Active""]",Optometry Clinic,Provides eye exams and prescriptions for eye glasses.  Provides specialty exams for patients who are diabetic.  Cannot provide contact lens fitting or glasses.,Offers sliding scale based on income level and ability to pay. Medicare and WA Apple Health (Medicaid) are accepted.,,No restrictions. All ages welcome.,Call for an appointment.
7510,5886,"[{""Contact_Id"":424}]",2020/01/22,"[""Active""]",Maternity Support Services,Provides support and information to pregnant women related to prenatal and postpartum health.  Services that may be available: -  Prenatal and postpartum education groups -  Breastfeeding groups - Transportation assistance during pregnancy -  Hospital tours in English and Spanish -  Behavioral health counseling -  Dental careAdditionally provides support and guidance in the care of the infant from 2-3 months old through his or her first birthday for those who need additional help.,Covered by WA Apple Health (Medicaid),,Pregnant women on Medicaid.,"Call or visit in person. Services can begin any time during the pregnancy, delivery or postpartum period."
7510,5969,"[{""Contact_Id"":424}]",2020/01/22,"[""Active""]",Youth Medical & Behavioral Health,Provides medical and behavioral health services for adolescents and young adults. Medical services provided include help with -  Reproductive Health -  Weight management -  Sports Physicals -  Gynecological Services  Behavioral health services provided include help with  -  Eating disorders -  Gender care -  Behavioral problems -  School Difficulties,Provides services regardless of a patient's ability to pay.,,"Adolescents and young adults ages 13-21. Washington state law says parental consent is not required at any age for family planning services such as birth control, pregnancy testing, and STD testing and treatment services.",Call for appointment or visit in person.  Drop-ins are accepted but appointments are preferred.
7510,6004,"[{""Contact_Id"":424}]",2020/01/22,"[""Active""]",Health Education,"Help people make better health decisions through support, encouragement, and health-related education.Support patients living with chronic diseases through one-on-one appointments, groups, and community-based classes. Provide education on diabetes, prediabetes, cholesterol, blood pressure, glucometer teaching, basic nutrition, asthma, tobacco cessation, family planning, exercise, among other topics. Health educator help patients to set goals that help the patient achieve better health outcomes.Offers community classes including exercise groups, cooking workshops, yoga, diabetes management, and gardening.",Most classes and programs are free.,,No restrictions.,Contact the health educator at the clinic.
7510,6101,"[{""Contact_Id"":424}]",2020/01/22,"[""Active""]",Medication Assisted Treatment,"Offers a comprehensive medication assisted treatment program for opioid use disorder using Suboxone (buprenorphine/naloxone) & Vivitrol (naltrexone). Clients may also participate in counseling, primary care, and psychiatric services.  Program is an abstinence-based program in which the goal for recovery is complete abstinence from all substances that are not prescribed including alcohol and marijuana.  Will not discharge individuals from our program if they test positive for other substances; however may change interventions and/or recommend a higher level of care if unable to achieve and maintain abstinence.Also provides comprehensive care coordination with a nurse care manager.","Accepts most insurances including Medicaid and provides services regardless of a patient’s ability to pay. When insurance is not available, offers a sliding fee scale discount, determined by household size and income.",,Potential clients must have an opiate use disorder.,Call. Clients are usually induced within 1-4 weeks of initial phone contact.
7510,13342,"[{""Contact_Id"":424}]",2020/01/22,"[""Active""]",Dental Care,"Offers primary dental care, including  -  Oral exams and consultations -  Oral screenings for infants and young children -  Oral health education and training -  Same-day appointments for emergency or urgent dental care -  Preventive services for children that include x-rays, cleanings, sealants and fluoride treatments -  Consultations and referrals for pediatric hospital care -  Regular appointments for routine and preventive dental care, including x-rays, restorations (""fillings""), scaling, composites, extractions and root canals -  Limited orthodontic treatment for children and adolescents -  Consultations for crowns and bridges",Offers sliding scale based on income level and ability to pay for people without dental insurance.  Accepts WA Apple Health (Medicaid) and private insurance.,,No restrictions. White Center clinic serves children and adolescents only.,Call for appointment or visit in person.  Drop-ins accepted; appointments are preferred.
7510,14001,"[{""Contact_Id"":424}]",2020/01/22,"[""Active""]",Latino Senior Information and Assistance,"*Provides information and advocacy to Spanish-speaking seniors for social services, medical services and transportation services.  Provides nutrition education and outreach services. Offers home visits in some areas.",None.,,Spanish-speaking older adults.,Call for information.
7510,14549,"[{""Contact_Id"":424}]",2020/01/22,"[""Active""]",Head Start / ECEAP,"Provides preschool children of low-income families with a comprehensive program to meet their emotional, social, health, nutritional and psychological needs. Head Start program offers: - Preschool education geared to children's developmental needs. - Health, nutrition and family support services. - Literacy, leadership and employment training opportunities for parents. - Services for homeless children and families.  ECEAP program offers: - Preschool experience which celebrates diversity and is geared to the individual child. - Nutritious family-style meals. - Medical, dental, vision and hearing screenings. - Health and nutrition education for children and families. - Parent groups and classes. - Job training and employment programs for parents.",None.,,Preschool children of low-income families and children with special needs (10% of enrollees may be children with disabilities).  Primarily serves 4 year olds.  Also serves homeless children and families.,Call.  Apply through the intake process or visit in person.
7510,17118,,2020/05/14,"[""Active""]",COVID-19 Testing,Offers scheduled COVID-19 testing for anyone who wants to be tested.,None.,,No restrictions.Do not need to be a Sea Mar patient.,Appointments will be scheduled after an evaluation is done with a Sea Mar provider over the phone.Offers both drive thru and walk up options.
7527,2455,"[{""Contact_Id"":3502}]",2021/04/23,"[""Active""]",Pregnancy Testing & Contraception,"Provides pregnancy testing and emergency contraception to those that visit in person during service hours.  Also provides additional birth control methods by appointment.  Some birth control methods require a physical exam.  Also offers fertility awareness education.  If pregnancy test is positive, provides pregnancy options education.","Sliding scale fees may be available.  Accepts WA Apple Health (Medicaid), Take Charge and private insurance.",,No restrictions.  Washington state law says parental consent is not required at any age for family planning services such as: -  Abortions -  Birth control -  Pregnancy testing -  STD testing and treatment services  Youth ages 13 and younger may need parental consent for a prescription for emergency contraception.,Call for an appointment during business hours or visit in person.  Appointments are not necessary for pregnancy tests or emergency contraception.
7527,4385,"[{""Contact_Id"":3502}]",2021/04/23,"[""Active""]",Gender Affirming Hormone Care,"Offers gender affirming hormone care for adults. Clients don’t need to participate in therapy or provide information from a mental health provider to receive hormone therapy. Prior to prescribing hormones, a Planned Parenthood clinician will -  Review your medical history, including your sexual and surgical history and current health practices -  Measure your weight and blood pressure -  Discuss your transition goals -  Draw your blood to watch for potential side effects of hormones -  Explain how to take hormones and answer any questions you might have  If hormone therapy is a good fit for you, you'll receive a prescription that you can take to a pharmacy.",Sliding scale fees may be available.  Accepts WA Apple Health (Medicaid) and private insurance.,,Those ages 18 and older who are interested in hormone therapy.,Schedule an appointment online or call.
