Agency_Id,Service_Id,ServiceContact_ServiceContact,ServiceSystem_DateOfLastCompleteUpdate,ServiceOption_Status,ServiceOption_WebsiteVisibility,ServiceAccount_ServiceAccount_Both,ServiceAccount_ServiceAccount,ServiceOption_CallCenterList,ServiceSystem_Name,ServiceCustom_Wa211serviceAffectedByCovid19,ServiceCustom_WaPhoneworkerNote,ServiceSystem_Description,ServiceSystem_PhoneMain,ServiceCustom_Phone1Ext,ServiceCustom_Phone1Description,ServiceSystem_EmailAddress,ServiceSystem_Websiteurl,ServiceProgram_ServiceProgram_Both,ServiceProgram_ServiceProgram,ServiceSite_ServiceSite_Both,ServiceSite_ServiceSite,ServiceHoursofoperation_ModuleHoursofoperation,ServiceOption_DaysOfTheWeek,ServiceOption_HoursOfService,ServiceCustom_Wa211viewHoursStyle,ServiceSystem_HoursOfOperation,ServiceTaxonomy_ModuleServicepost,ServiceGeotagus_ServiceGeotagus,ServiceCustom_ServiceAka,ServiceCustom_Wa211HoursStyleGuide,ServiceCustom_Wa211HoursStyle,ServiceOption_FocusPopulations,ServiceOption_AgeGroups,ServiceOption_DisabilitiesHealthConditions
10042,24909,"[{""Contact_Id"":5534}]",2022/01/26,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]",Food Alliance offered at Food Alliance,,,"Provides information, certification and resources on sustainability and safety to the agriculture and food industries.",503-267-4667,,,info@foodalliance.org,http://foodalliance.org,"[{""Program_Id"":19200,""Name"":""Food Alliance""}]","[{""Program_Id"":19200}]","[{""Site_Id"":11879,""Name"":""Food Alliance""}]","[{""Site_Id"":11879}]","{""open"":{""Monday"":[[[9,0],[17,0]]],""Tuesday"":[[[9,0],[17,0]]],""Wednesday"":[[[9,0],[17,0]]],""Thursday"":[[[9,0],[17,0]]],""Friday"":[[[9,0],[17,0]]]},""closed"":[]}","[""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",,,"M-F, 9am-5pm.","[{""taxonomy_code"":""BD-2600.0500-800""},{""taxonomy_code"":""BD-2600.0500-250""}]","[{""scope"":""state"",""state"":""OR""},{""scope"":""state"",""state"":""WA""}]","Food Alliance, Food Alliances, Foods Alliance",,,"[""Farmers\/Farm Workers""]",,
10042,24910,"[{""Contact_Id"":5534}]",2022/01/18,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]",Craft3 offered at Craft3,,,"Provides loans to help strengthen the economic and ecological growth of established nonprofits, growing and start-up businesses, and to all income level families in need of upgrades within their homes.",888-231-2170,,,,https://www.craft3.org,"[{""Program_Id"":19201,""Name"":""Craft3""}]","[{""Program_Id"":19201}]","[{""Site_Id"":11880,""Name"":""Craft3""}]","[{""Site_Id"":11880}]","{""open"":{""Monday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Friday"":[[[8,0],[17,0]]]},""closed"":[]}","[""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",,,"M-F, 8am-5pm.","[{""taxonomy_code"":""TB-0900.1000""},{""taxonomy_code"":""PH-3300.2740""},{""taxonomy_code"":""BH-3000.3550-360""}]","[{""scope"":""state"",""state"":""OR""},{""scope"":""state"",""state"":""WA""}]","Craft3, Craft 3, Craft three",,,"[""Farmers\/Farm Workers""]",,
10042,24911,"[{""Contact_Id"":5534}]",2022/01/19,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]",Ecotrust offered at Ecotrust,,,"Provides information and support for social equality and economic opportunity to new businesses and non-profits connected to agriculture, ecology, and the environment.",503-227-6225,,,contact@ecotrust.org,https://ecotrust.org,"[{""Program_Id"":19202,""Name"":""Ecotrust""}]","[{""Program_Id"":19202}]","[{""Site_Id"":11881,""Name"":""Ecotrust""}]","[{""Site_Id"":11881}]","{""open"":{""Monday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Friday"":[[[8,0],[17,0]]]},""closed"":[]}","[""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",,,"M-F, 8am-5pm.","[{""taxonomy_code"":""TR""},{""taxonomy_code"":""TB-0900.8000-800""},{""taxonomy_code"":""JD-1500.4500""},{""taxonomy_code"":""JD-1500.9500""}]","[{""scope"":""state"",""state"":""OR""},{""scope"":""state"",""state"":""WA""}]","Ecotrust, Eco trust, ecootrust, Trust eco",,,"[""Farmers\/Farm Workers""]",,
10042,24913,"[{""Contact_Id"":5534}]",2022/01/19,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]",Mid-Willamette Valley and Central Coast CCS offered at Catholic Community Services,,,"Provides human and health services with basic needs, mental health, transitional housing, housing programs for literally and chronically homeless households, and family support services.",503-390-2600,,,,https://ccswv.org,"[{""Program_Id"":19204,""Name"":""Mid-Willamette Valley and Central Coast CCS""}]","[{""Program_Id"":19204}]","[{""Site_Id"":11883,""Name"":""Mid-Willamette Valley and Central Coast CCS""}]","[{""Site_Id"":11883}]","{""open"":{""Monday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Friday"":[[[8,0],[17,0]]]},""closed"":[]}","[""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",,,"M-F, 8am-5pm.","[{""taxonomy_code"":""PH-2360.2400""},{""taxonomy_code"":""BM-6500.1500-250""},{""taxonomy_code"":""LH-5100.6500""},{""taxonomy_code"":""BV-8900.9300-250""},{""taxonomy_code"":""BV-8900.9300-180""},{""taxonomy_code"":""PH-2400.1300""},{""taxonomy_code"":""RP-5000.1400""},{""taxonomy_code"":""BH-8600""}]","[{""scope"":""county"",""county"":""Yamhill"",""state"":""OR""},{""scope"":""county"",""county"":""Marion"",""state"":""OR""},{""scope"":""city"",""city"":""Woodburn"",""state"":""OR""}]","Mid-Willamette Valley, Mid-Willamette Valley and Central Coast, Mid-Willamette Valley and Central Coast CCS",,,"[""Farmers\/Farm Workers""]",,
10042,24926,"[{""Contact_Id"":5534}]",2022/01/24,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]",Western Organization of Resource Councils (WORC) offered at Western Organization of Resource Councils,,,"Provide information and resources for stewardship and conservation of the land, water, and energy resources; family farms and sustainable agriculture; and civic engagement.",406-252-9672,,,billings@worc.org,http://www.worc.org,"[{""Program_Id"":19217,""Name"":""Western Organization of Resource Councils (WORC)""}]","[{""Program_Id"":19217}]","[{""Site_Id"":11887,""Name"":""Western Organization of Resource Councils (WORC)""}]","[{""Site_Id"":11887}]","{""open"":{""Monday"":[[[8,30],[17,30]]],""Tuesday"":[[[8,30],[17,30]]],""Wednesday"":[[[8,30],[17,30]]],""Thursday"":[[[8,30],[17,30]]],""Friday"":[[[8,30],[17,30]]]},""closed"":[]}","[""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",,,"M-F, 8:30am-5:30pm.","[{""taxonomy_code"":""JD-1500.4500""},{""taxonomy_code"":""BD-2600.0500-800""}]","[{""scope"":""state"",""state"":""WY""},{""scope"":""state"",""state"":""ID""},{""scope"":""state"",""state"":""CO""},{""scope"":""state"",""state"":""SD""},{""scope"":""state"",""state"":""ND""},{""scope"":""state"",""state"":""MT""}]","Western Organization of Resource Councils, Western Organization, Western Resource Councils, WORC",,,"[""Farmers\/Farm Workers""]",,
10042,24927,"[{""Contact_Id"":5534}]",2022/01/19,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]",Northwest Regional Telehealth Resource Center offered at Northwest Regional Telehealth Center,,,"Provides information, education and assistance for people interested in telehealth.",801-587-0349,,,bob@nrtrc.org,https://nrtrc.org,"[{""Program_Id"":19218,""Name"":""Northwest Regional Telehealth Resource Center""}]","[{""Program_Id"":19218}]","[{""Site_Id"":11888,""Name"":""Northwest Regional Telehealth Resource Center""}]","[{""Site_Id"":11888}]","{""open"":{""Monday"":[[[9,0],[17,0]]],""Tuesday"":[[[9,0],[17,0]]],""Wednesday"":[[[9,0],[17,0]]],""Thursday"":[[[9,0],[17,0]]],""Friday"":[[[9,0],[17,0]]]},""closed"":[]}","[""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",,,"M-F, 9am-5pm.","[{""taxonomy_code"":""TJ-3000.8000""},{""taxonomy_code"":""LV-8500""}]","[{""scope"":""state"",""state"":""WY""},{""scope"":""state"",""state"":""WA""},{""scope"":""state"",""state"":""UT""},{""scope"":""state"",""state"":""OR""},{""scope"":""state"",""state"":""MT""},{""scope"":""state"",""state"":""ID""},{""scope"":""state"",""state"":""AK""}]","Northwest Regional Telehealth Center. NW Regional Telehealth, Northwest Regional Telehealth, Northwest Telehealth Center",,,"[""Farmers\/Farm Workers""]",,
10042,24928,"[{""Contact_Id"":5534}]",2022/01/19,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]",Northwest Telehealth offered at Inland Northwest Health Services,,,"Provides community access to telehealth services by specialists through the use of monitors, specialized cameras, microphones and diagnostic equipment.",509-789-4960,,,,https://www.providence.org/business/northwest-telehealth,"[{""Program_Id"":19219,""Name"":""Northwest TeleHealth""}]","[{""Program_Id"":19219}]","[{""Site_Id"":11889,""Name"":""Northwest TeleHealth""}]","[{""Site_Id"":11889}]","{""open"":{""Monday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Friday"":[[[8,0],[17,0]]]},""closed"":[]}","[""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",,,"M-F, 8am-5pm.","[{""taxonomy_code"":""LV-8500""}]","[{""scope"":""state"",""state"":""ID""},{""scope"":""state"",""state"":""WA""}]","Northwest Telehealth, NW Telehealth,  Inland Northwest Health Services",,,"[""Farmers\/Farm Workers""]",,
10042,24929,"[{""Contact_Id"":5534}]",2022/01/24,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]",Western Extension Risk Management Education offered at Western Extension Risk Management Education,,,Provides informational resources to support producers with long-term risk management strategies.,509-335-6360,,,sneibergs@wsu.edu,https://westrme.wsu.edu,"[{""Program_Id"":19220,""Name"":""Western Extension Risk Management Education""}]","[{""Program_Id"":19220}]","[{""Site_Id"":11890,""Name"":""Western Extension Risk Management Education""}]","[{""Site_Id"":11890}]","{""open"":{""Monday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Friday"":[[[8,0],[17,0]]]},""closed"":[]}","[""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",,,"M-F, 8am-5pm.","[{""taxonomy_code"":""BD-2600.0500""},{""taxonomy_code"":""BD-2600.0500-250""}]","[{""scope"":""state"",""state"":""WA""}]","Western Extension Risk Management Education, WSU Extension Risk Management,  Washington State University Extension",,,"[""Farmers\/Farm Workers""]",,
10042,24930,"[{""Contact_Id"":5534}]",2022/01/19,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]",Northwest Center for Alternatives to Pesticides (NCAP) offered at Northwest Center for Alternatives,,,"Provides resources to promote ecological solutions for alternatives to pesticides to protect people, communities and agricultural industries.",541-344-5044,19,,info@pesticide.org,https://www.pesticide.org,"[{""Program_Id"":19221,""Name"":""Northwest Center for Alternatives to Pesticides (NCAP)""}]","[{""Program_Id"":19221}]","[{""Site_Id"":11891,""Name"":""Northwest Center for Alternatives to Pesticides (NCAP)""}]","[{""Site_Id"":11891}]","{""open"":{""Monday"":[[[9,0],[17,0]]],""Tuesday"":[[[9,0],[17,0]]],""Wednesday"":[[[9,0],[17,0]]],""Thursday"":[[[9,0],[17,0]]]},""closed"":[]}","[""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",,,"M-Th, 9am-5pm.","[{""taxonomy_code"":""TJ-3000.8000""},{""taxonomy_code"":""JD-6500.1800-650""},{""taxonomy_code"":""TD-1600.1800""}]","[{""scope"":""state"",""state"":""OR""},{""scope"":""state"",""state"":""ID""},{""scope"":""state"",""state"":""WA""}]","Northwest Center for Alternatives to Pesticides, NCAP, Northwest Center for Alternatives, Pesticides NCAP",,,"[""Farmers\/Farm Workers""]",,
10042,24931,"[{""Contact_Id"":5534}]",2022/01/19,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]",Northwest Justice Project Farmworker Unit offered at Northwest Justice Project,,,Provides advocacy and individual legal representation to  Low-income individuals who work in any branch of agriculture and their families.,888-201-1018,0,,,https://nwjustice.org/farmworker-unit,"[{""Program_Id"":19222,""Name"":""Northwest Justice Project Farmworker Unit""}]","[{""Program_Id"":19222}]","[{""Site_Id"":11892,""Name"":""Northwest Justice Project Farmworker Unit""}]","[{""Site_Id"":11892}]","{""open"":{""Monday"":[[[9,15],[12,15]]],""Tuesday"":[[[9,15],[12,15]]],""Wednesday"":[[[9,15],[12,15]]],""Thursday"":[[[9,15],[12,15]]],""Friday"":[[[9,15],[12,15]]]},""closed"":[]}","[""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",,,"M-F, 9:15am-12:15pm.","[{""taxonomy_code"":""FT-3200""},{""taxonomy_code"":""FT-1800.3000""},{""taxonomy_code"":""FT-1800.2900""},{""taxonomy_code"":""FT-1000.9500""},{""taxonomy_code"":""FT-1000.8900""},{""taxonomy_code"":""FT-1000.6600""}]","[{""scope"":""state"",""state"":""WA""}]","Northwest Justice Project Farmworker Unit, Northwest Justice Project, Northwest Project Farm, Northwest Farmworker Justice",,,"[""Farmers\/Farm Workers""]",,
10042,24933,"[{""Contact_Id"":5534}]",2022/01/18,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]",Eastern WA Area Health Education Center offered at Eastern Washington University,,,"Provides research, education, and community development in assessing the needs of health care professionals working in rural and underserved health clinics.",509-828-1381,,,kloney83@ewu.edu,https://inside.ewu.edu/ewahec,"[{""Program_Id"":19224,""Name"":""Eastern WA Area Health Education Center""}]","[{""Program_Id"":19224}]","[{""Site_Id"":11894,""Name"":""Eastern WA Area Health Education Center""}]","[{""Site_Id"":11894}]","{""open"":{""Monday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Friday"":[[[8,0],[17,0]]]},""closed"":[]}","[""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",,,"M-F, 8am-5pm.","[{""taxonomy_code"":""TR""},{""taxonomy_code"":""TJ-3000.8000""}]","[{""scope"":""state"",""state"":""WA""}]","Eastern WA Area Health Education Center , Eastern Washington Health, Eastern Washington Health Center, Wa Health Center, Eastern Washington University Health Center",,,"[""Farmers\/Farm Workers""]",,
10042,24934,"[{""Contact_Id"":5534}]",2022/01/24,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]",SARE - Washington (Sustainable Agriculture Research and Education) offered at USDA,,,"Provides programs for grants to farmers/ranchers, researchers and other agricultural professionals to help improve sustainability in the agriculture field.",509-335-4605,,,cekruger@wsu.edu,https://western.sare.org/sare-in-your-state/washington,"[{""Program_Id"":19225,""Name"":""SARE - Washington (Sustainable Agriculture Research and Education)""}]","[{""Program_Id"":19225}]","[{""Site_Id"":11895,""Name"":""SARE - Washington (Sustainable Agriculture Research and Education)""}]","[{""Site_Id"":11895}]","{""open"":{""Monday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Friday"":[[[8,0],[17,0]]]},""closed"":[]}","[""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",,,"M-F, 8am-5pm.","[{""taxonomy_code"":""BD-2600.0500-250""},{""taxonomy_code"":""BD-2600.0500-800""}]","[{""scope"":""state"",""state"":""WA""}]","SARE, Sustainable Agriculture Research and Education, SARE WA",,,"[""Farmers\/Farm Workers""]",,
10042,24938,"[{""Contact_Id"":5534}]",2022/01/14,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]",American Foundation for Suicide Prevention - Oregon Chapter offered at American Foundation for Suicide Prevention,,,"Provides educational programs, research and fundraising for suicide prevention.",971-208-5615,,,tchambers@afsp.org,https://afsp.org/chapter/oregon,"[{""Program_Id"":19229,""Name"":""American Foundation for Suicide Prevention - Oregon Chapter""}]","[{""Program_Id"":19229}]","[{""Site_Id"":11899,""Name"":""American Foundation for Suicide Prevention - Oregon Chapter""}]","[{""Site_Id"":11899}]",,,,,,"[{""taxonomy_code"":""RR-5150.5000-800""}]","[{""scope"":""state"",""state"":""OR""}]","American Foundation for Suicide Prevention, American Foundation for Suicide Prevention Oregon Chapter",,,"[""Farmers\/Farm Workers""]",,
10042,24939,"[{""Contact_Id"":5534}]",2022/01/19,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]",Northeast Oregon Network offered at Northeast Oregon Network,,,"Provides information for enrollment, financial assistance, and navigation to help families and individuals connect to available healthcare resources.",541-624-5101,,,,https://www.neonoregon.org,"[{""Program_Id"":19230,""Name"":""Northeast Oregon Network""}]","[{""Program_Id"":19230}]","[{""Site_Id"":11900,""Name"":""Northeast Oregon Network""}]","[{""Site_Id"":11900}]","{""open"":{""Monday"":[[[9,0],[17,0]]],""Tuesday"":[[[9,0],[17,0]]],""Wednesday"":[[[9,0],[17,0]]],""Thursday"":[[[9,0],[17,0]]],""Friday"":[[[9,0],[17,0]]]},""closed"":[]}","[""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",,,"M-F, 9am-5pm.","[{""taxonomy_code"":""LH-3500.8000""},{""taxonomy_code"":""LH-3500.2500""}]","[{""scope"":""county"",""county"":""Baker"",""state"":""OR""},{""scope"":""county"",""county"":""Wallowa"",""state"":""OR""},{""scope"":""county"",""county"":""Union"",""state"":""OR""}]","Northeast Oregon Network, NE Oregon Network",,,"[""Farmers\/Farm Workers""]",,
10042,24940,"[{""Contact_Id"":5534}]",2022/01/24,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]",SARE - Oregon (Sustainable Agriculture Research and Education) offered at USDA,,,"Provides programs for grants to farmers/ranchers, researchers and other agricultural professionals to help improve sustainability in the agriculture field.",541-776-7371,,,maud.powell@oregonstate.edu,https://western.sare.org/sare-in-your-state/oregon,"[{""Program_Id"":19231,""Name"":""SARE - Oregon (Sustainable Agriculture Research and Education""}]","[{""Program_Id"":19231}]","[{""Site_Id"":11901,""Name"":""SARE - Oregon (Sustainable Agriculture Research and Education)""}]","[{""Site_Id"":11901}]","{""open"":{""Monday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Friday"":[[[8,0],[17,0]]]},""closed"":[]}","[""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",,,"M-F, 8am-5pm.","[{""taxonomy_code"":""BD-2600.0500-800""},{""taxonomy_code"":""BD-2600.0500-250""}]","[{""scope"":""state"",""state"":""OR""}]","SARE, SARE Oregon, Sare Sustainable agriculture research and education",,,"[""Farmers\/Farm Workers""]",,
10042,24941,"[{""Contact_Id"":5534}]",2022/01/21,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]",Rogue Farm Corps offered at Rogue Farm Corps,,,Provide programs and information for training the next generation of farmers and ranchers in Oregon,541-588-3550,,,info@roguefarmcorps.org,https://www.roguefarmcorps.org,"[{""Program_Id"":19232,""Name"":""Rogue Farm Corps""}]","[{""Program_Id"":19232}]","[{""Site_Id"":11903,""Name"":""Rogue Farm Corps""}]","[{""Site_Id"":11903}]",,,,,,"[{""taxonomy_code"":""ND-2000.3500-050""},{""taxonomy_code"":""ND-2000.3500-330""},{""taxonomy_code"":""TJ-3000.8000""}]","[{""scope"":""state"",""state"":""OR""}]","Rogue Farm Corps, Rogue Farm",,,"[""Farmers\/Farm Workers""]",,
10042,24942,"[{""Contact_Id"":5534}]",2022/01/21,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]",Pineros y Campesinos Unidos del Noroeste (PCUN) offered at PCUN,,,Emergency work relief for the undocumented worker or farmworker who have COVID-19.,503-902-0367,,,,https://pcun.org,"[{""Program_Id"":19233,""Name"":""Pineros y Campesinos Unidos del Noroeste (PCUN)""}]","[{""Program_Id"":19233}]","[{""Site_Id"":11904,""Name"":""Pineros y Campesinos Unidos del Noroeste (PCUN)""}]","[{""Site_Id"":11904}]","{""open"":{""Monday"":[[[9,0],[18,0]]],""Tuesday"":[[[9,0],[18,0]]],""Wednesday"":[[[9,0],[18,0]]],""Thursday"":[[[9,0],[18,0]]],""Friday"":[[[9,0],[18,0]]]},""closed"":[]}","[""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",,,"M-F, 9am-6pm.","[{""taxonomy_code"":""NT-8900""},{""taxonomy_code"":""TJ-6500.6300""},{""taxonomy_code"":""FT-3600.7000""}]","[{""scope"":""state"",""state"":""OR""}]","Pineros y Campesinos Unidos del Noroeste,  (PCUN), Pinerso y Campesinos",,,"[""Farmers\/Farm Workers""]",,
10042,24943,"[{""Contact_Id"":5534}]",2022/01/21,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]",Oregon's USDA Agricultural Mediation Program (Six Rivers) offered at USDA,,,Provides low-cost conflict resolution and educational services through mediators and facilitators.,888-628-4101,,,outreach@6rivers.org,https://6rivers.org,"[{""Program_Id"":19234,""Name"":""Oregon's USDA Agricultural Mediation Program (Six Rivers)""}]","[{""Program_Id"":19234}]","[{""Site_Id"":11905,""Name"":""Oregon's USDA Agricultural Mediation Program (Six Rivers)""}]","[{""Site_Id"":11905}]",,,,,,"[{""taxonomy_code"":""FP-0700.5000""}]","[{""scope"":""state"",""state"":""OR""}]","Oregon's USDA Agricultural Mediation Program,  (Six Rivers)",,,"[""Farmers\/Farm Workers""]",,
10042,24944,"[{""Contact_Id"":5534}]",2022/01/21,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]",Oregon Wheat Growers League (Oregon Wheat Commission) offered at Oregon Wheat Commission,,,"Provides advocacy, information, and resources for wheat growers and those that are interested in the wheat growing industry.",541-276-7330,,,info@owgl.org,https://www.owgl.org,"[{""Program_Id"":19235,""Name"":""Oregon Wheat Growers League (Oregon Wheat Commission)""}]","[{""Program_Id"":19235}]","[{""Site_Id"":11906,""Name"":""Oregon Wheat Growers League (Oregon Wheat Commission)""}]","[{""Site_Id"":11906}]","{""open"":{""Sunday"":[[[0,0],[23,59]]],""Monday"":[[[0,0],[23,59]]],""Tuesday"":[[[0,0],[23,59]]],""Wednesday"":[[[0,0],[23,59]]],""Thursday"":[[[0,0],[23,59]]],""Friday"":[[[0,0],[23,59]]],""Saturday"":[[[0,0],[23,59]]]},""closed"":[]}","[""Sunday"",""Saturday"",""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",,,24 hours daily.,"[{""taxonomy_code"":""BD-2600.0500-250""},{""taxonomy_code"":""TN-1000.8500""}]","[{""scope"":""state"",""state"":""OR""}]",Oregon Wheat Growers League (Oregon Wheat Commission),,,"[""Farmers\/Farm Workers""]",,
10042,24945,"[{""Contact_Id"":5534}]",2022/01/21,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]",OSU Small Farms Program offered at Oregon State University,,,"Provides Oregon's small farmers and ranchers, education, research, and support with sustainable agriculture, community food systems, and economic progress.",541-766-3556,,,caswebrequest@oregonstate.edu,https://agsci.oregonstate.edu,"[{""Program_Id"":19236,""Name"":""OSU Small Farms Program""}]","[{""Program_Id"":19236}]","[{""Site_Id"":11907,""Name"":""OSU Small Farms Program""}]","[{""Site_Id"":11907}]","{""open"":{""Monday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Friday"":[[[8,0],[17,0]]]},""closed"":[]}","[""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",,,"M-F, 8am-5pm.","[{""taxonomy_code"":""BD-2600.0500-800""},{""taxonomy_code"":""HH-0500.1560""}]","[{""scope"":""state"",""state"":""OR""}]","OSU Small Farms Program, Oregon State University Small Farms Program",,,"[""Farmers\/Farm Workers""]",,
10042,24946,"[{""Contact_Id"":5534}]",2022/01/21,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]",Oregon State NRCS Office offered at USDA,,,"Provides programs, financial assistance, and technical resources to support farmers to conserve, maintain, or improve their natural resources.",503-414-3200,,,orinfo@nrcs.usda.gov,https://www.nrcs.usda.gov/wps/portal/nrcs/site/or/home,"[{""Program_Id"":19237,""Name"":""Oregon State NRCS Office""}]","[{""Program_Id"":19237}]","[{""Site_Id"":11908,""Name"":""Oregon State NRCS Office""}]","[{""Site_Id"":11908}]","{""open"":{""Monday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Friday"":[[[8,0],[17,0]]]},""closed"":[]}","[""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",,,"M-F, 8am-5pm.","[{""taxonomy_code"":""BD-2600.0500-800""},{""taxonomy_code"":""BD-2600.0500""},{""taxonomy_code"":""JD-1500.4500""}]","[{""scope"":""state"",""state"":""OR""}]","OR Oregon  NRCS, Oregon NRCS Office, NRCS USDA",,,"[""Farmers\/Farm Workers""]",,
